Gene stable ID,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand,Transcript length (including UTRs and CDS),Gene % GC content,Gene type
ENSMUSG00000054568,7,104506216,104511874,1,2656,45.26,protein_coding
ENSMUSG00000046138,19,29691802,29783389,-1,7524,36.98,protein_coding
ENSMUSG00000046138,19,29691802,29783389,-1,4678,36.98,protein_coding
ENSMUSG00000046138,19,29691802,29783389,-1,6632,36.98,protein_coding
ENSMUSG00000031444,8,13087308,13106676,1,2503,47.83,protein_coding
ENSMUSG00000031444,8,13087308,13106676,1,1903,47.83,protein_coding
ENSMUSG00000031444,8,13087308,13106676,1,609,47.83,protein_coding
ENSMUSG00000031444,8,13087308,13106676,1,1395,47.83,protein_coding
ENSMUSG00000031444,8,13087308,13106676,1,1449,47.83,protein_coding
ENSMUSG00000071340,10,33913593,33985811,1,1185,39.69,protein_coding
ENSMUSG00000071340,10,33913593,33985811,1,691,39.69,protein_coding
ENSMUSG00000039456,16,93629009,93672961,1,4179,43.48,protein_coding
ENSMUSG00000039456,16,93629009,93672961,1,1386,43.48,protein_coding
ENSMUSG00000039456,16,93629009,93672961,1,4178,43.48,protein_coding
ENSMUSG00000046101,1,9978863,10012310,1,2826,39.85,protein_coding
ENSMUSG00000046101,1,9978863,10012310,1,2003,39.85,protein_coding
ENSMUSG00000046101,1,9978863,10012310,1,3249,39.85,protein_coding
ENSMUSG00000046101,1,9978863,10012310,1,2072,39.85,protein_coding
ENSMUSG00000046101,1,9978863,10012310,1,2553,39.85,protein_coding
ENSMUSG00000073917,7,104527238,104532113,1,3248,34.84,protein_coding
ENSMUSG00000073917,7,104527238,104532113,1,2298,34.84,protein_coding
ENSMUSG00000073917,7,104527238,104532113,1,2522,34.84,protein_coding
ENSMUSG00000073917,7,104527238,104532113,1,951,34.84,protein_coding
ENSMUSG00000036764,10,63218222,63246355,1,592,43.10,protein_coding
ENSMUSG00000036764,10,63218222,63246355,1,3025,43.10,protein_coding
ENSMUSG00000025105,7,81616401,81642055,-1,4680,43.63,protein_coding
ENSMUSG00000074909,19,29785800,29790374,-1,4575,41.07,protein_coding
ENSMUSG00000022386,15,85763513,85781595,1,1526,48.52,protein_coding
ENSMUSG00000063582,7,104541029,104545159,-1,1949,36.82,protein_coding
ENSMUSG00000063582,7,104541029,104545159,-1,957,36.82,protein_coding
ENSMUSG00000063698,19,60825715,60849917,-1,1309,42.63,protein_coding
ENSMUSG00001074846,9,106420585,106438830,-1,943,45.09,protein_coding
ENSMUSG00001074846,9,106420585,106438830,-1,1131,45.09,protein_coding
ENSMUSG00001074846,9,106420585,106438830,-1,486,45.09,protein_coding
ENSMUSG00001074846,9,106420585,106438830,-1,633,45.09,protein_coding
ENSMUSG00001074846,9,106420585,106438830,-1,377,45.09,protein_coding
ENSMUSG00001074846,9,106420585,106438830,-1,183,45.09,protein_coding
ENSMUSG00000039508,10,33914780,33920306,-1,3711,39.86,protein_coding
ENSMUSG00000039508,10,33914780,33920306,-1,3075,39.86,protein_coding
ENSMUSG00000056782,7,104563949,104570689,-1,2695,37.58,protein_coding
ENSMUSG00000056782,7,104563949,104570689,-1,981,37.58,protein_coding
ENSMUSG00000030727,7,126027931,126048417,1,2234,51.21,protein_coding
ENSMUSG00000030727,7,126027931,126048417,1,2279,51.21,protein_coding
ENSMUSG00000048185,10,63257144,63257568,-1,425,58.82,protein_coding
ENSMUSG00000049872,10,33963811,33972515,-1,5323,41.82,protein_coding
ENSMUSG00000046031,10,34002063,34003980,-1,1094,48.07,protein_coding
ENSMUSG00000039497,10,34027389,34083711,-1,4389,40.54,protein_coding
ENSMUSG00000039497,10,34027389,34083711,-1,1249,40.54,protein_coding
ENSMUSG00000039497,10,34027389,34083711,-1,641,40.54,protein_coding
ENSMUSG00000015002,15,65658883,65745665,1,5215,38.98,protein_coding
ENSMUSG00000015002,15,65658883,65745665,1,2848,38.98,protein_coding
ENSMUSG00000015002,15,65658883,65745665,1,1411,38.98,protein_coding
ENSMUSG00000015002,15,65658883,65745665,1,612,38.98,protein_coding
ENSMUSG00000015002,15,65658883,65745665,1,2541,38.98,protein_coding
ENSMUSG00000015002,15,65658883,65745665,1,518,38.98,protein_coding
ENSMUSG00000030249,6,142533588,142648041,-1,7306,42.47,protein_coding
ENSMUSG00000030249,6,142533588,142648041,-1,6213,42.47,protein_coding
ENSMUSG00000030249,6,142533588,142648041,-1,4752,42.47,protein_coding
ENSMUSG00000030249,6,142533588,142648041,-1,1458,42.47,protein_coding
ENSMUSG00000030249,6,142533588,142648041,-1,7433,42.47,protein_coding
ENSMUSG00000030249,6,142533588,142648041,-1,7499,42.47,protein_coding
ENSMUSG00000021339,13,25171466,25204362,-1,7035,45.43,protein_coding
ENSMUSG00000020781,11,115705550,115713920,1,1979,52.07,protein_coding
ENSMUSG00000020781,11,115705550,115713920,1,1862,52.07,protein_coding
ENSMUSG00000020781,11,115705550,115713920,1,825,52.07,protein_coding
ENSMUSG00000020781,11,115705550,115713920,1,963,52.07,protein_coding
ENSMUSG00000020781,11,115705550,115713920,1,494,52.07,protein_coding
ENSMUSG00000024997,19,60852489,60862994,-1,1478,41.60,protein_coding
ENSMUSG00000041009,9,106445518,106448195,-1,756,46.94,protein_coding
ENSMUSG00000031445,8,13110914,13126026,1,984,50.08,protein_coding
ENSMUSG00000031445,8,13110914,13126026,1,3361,50.08,protein_coding
ENSMUSG00000035910,13,25239987,25394689,1,2345,43.63,protein_coding
ENSMUSG00000035910,13,25239987,25394689,1,6634,43.63,protein_coding
ENSMUSG00000032332,9,79506273,79626113,-1,1784,39.50,protein_coding
ENSMUSG00000032332,9,79506273,79626113,-1,11511,39.50,protein_coding
ENSMUSG00000032332,9,79506273,79626113,-1,9953,39.50,protein_coding
ENSMUSG00000024810,19,29902514,29938118,1,2537,42.14,protein_coding
ENSMUSG00000024810,19,29902514,29938118,1,377,42.14,protein_coding
ENSMUSG00000024810,19,29902514,29938118,1,725,42.14,protein_coding
ENSMUSG00000024810,19,29902514,29938118,1,2544,42.14,protein_coding
ENSMUSG00000024810,19,29902514,29938118,1,370,42.14,protein_coding
ENSMUSG00000027708,3,35946254,35991594,-1,4980,40.93,protein_coding
ENSMUSG00000027708,3,35946254,35991594,-1,3020,40.93,protein_coding
ENSMUSG00000027708,3,35946254,35991594,-1,845,40.93,protein_coding
ENSMUSG00000027708,3,35946254,35991594,-1,784,40.93,protein_coding
ENSMUSG00000027708,3,35946254,35991594,-1,282,40.93,protein_coding
ENSMUSG00000027708,3,35946254,35991594,-1,588,40.93,protein_coding
ENSMUSG00000027708,3,35946254,35991594,-1,546,40.93,protein_coding
ENSMUSG00000027708,3,35946254,35991594,-1,4434,40.93,protein_coding
ENSMUSG00000047514,10,34158186,34161271,1,3086,46.89,protein_coding
ENSMUSG00000022945,16,93680789,93703003,1,1922,47.71,protein_coding
ENSMUSG00000022945,16,93680789,93703003,1,1894,47.71,protein_coding
ENSMUSG00000022945,16,93680789,93703003,1,719,47.71,protein_coding
ENSMUSG00000022945,16,93680789,93703003,1,484,47.71,protein_coding
ENSMUSG00000060843,10,63265877,64839446,1,2907,39.39,protein_coding
ENSMUSG00000060843,10,63265877,64839446,1,3682,39.39,protein_coding
ENSMUSG00000060843,10,63265877,64839446,1,2688,39.39,protein_coding
ENSMUSG00000031634,8,46428565,46449995,1,1640,39.64,protein_coding
ENSMUSG00000031634,8,46428565,46449995,1,376,39.64,protein_coding
ENSMUSG00000117942,18,36780913,36798970,1,2235,40.27,protein_coding
ENSMUSG00000025592,X,112207207,112746083,1,2894,35.52,protein_coding
ENSMUSG00000025592,X,112207207,112746083,1,2512,35.52,protein_coding
ENSMUSG00000025592,X,112207207,112746083,1,2089,35.52,protein_coding
ENSMUSG00000025592,X,112207207,112746083,1,5155,35.52,protein_coding
ENSMUSG00000025592,X,112207207,112746083,1,2520,35.52,protein_coding
ENSMUSG00000048978,13,25436023,25454485,-1,2222,43.79,protein_coding
ENSMUSG00000048978,13,25436023,25454485,-1,1891,43.79,protein_coding
ENSMUSG00000090264,18,36797113,36798970,1,744,47.90,protein_coding
ENSMUSG00000096276,12,87920850,87927453,1,837,39.23,protein_coding
ENSMUSG00000096276,12,87920850,87927453,1,375,39.23,protein_coding
ENSMUSG00000096276,12,87920850,87927453,1,947,39.23,protein_coding
ENSMUSG00000096276,12,87920850,87927453,1,1894,39.23,protein_coding
ENSMUSG00000096276,12,87920850,87927453,1,698,39.23,protein_coding
ENSMUSG00000096276,12,87920850,87927453,1,1059,39.23,protein_coding
ENSMUSG00000096276,12,87920850,87927453,1,650,39.23,protein_coding
ENSMUSG00000096276,12,87920850,87927453,1,2440,39.23,protein_coding
ENSMUSG00000096276,12,87920850,87927453,1,618,39.23,protein_coding
ENSMUSG00000099032,1,10030388,10038157,-1,4193,42.07,protein_coding
ENSMUSG00000099032,1,10030388,10038157,-1,2639,42.07,protein_coding
ENSMUSG00000038936,1,179495775,179514754,1,1948,43.07,protein_coding
ENSMUSG00000038936,1,179495775,179514754,1,660,43.07,protein_coding
ENSMUSG00000038936,1,179495775,179514754,1,527,43.07,protein_coding
ENSMUSG00000006050,18,36799734,36803868,-1,1979,44.09,protein_coding
ENSMUSG00000006050,18,36799734,36803868,-1,760,44.09,protein_coding
ENSMUSG00000006050,18,36799734,36803868,-1,695,44.09,protein_coding
ENSMUSG00000057770,7,104571498,104577264,-1,3613,35.50,protein_coding
ENSMUSG00000057770,7,104571498,104577264,-1,957,35.50,protein_coding
ENSMUSG00000024815,19,29981190,29983418,1,2229,44.82,protein_coding
ENSMUSG00000003228,19,60878187,61084406,1,6580,43.60,protein_coding
ENSMUSG00000003228,19,60878187,61084406,1,634,43.60,protein_coding
ENSMUSG00000030468,7,43057628,43067782,1,2569,48.84,protein_coding
ENSMUSG00000022641,16,50012207,50252753,-1,8743,39.13,protein_coding
ENSMUSG00000022641,16,50012207,50252753,-1,4523,39.13,protein_coding
ENSMUSG00000022641,16,50012207,50252753,-1,4024,39.13,protein_coding
ENSMUSG00000022641,16,50012207,50252753,-1,3293,39.13,protein_coding
ENSMUSG00000022641,16,50012207,50252753,-1,2539,39.13,protein_coding
ENSMUSG00000042846,10,63764251,63926056,-1,3896,40.28,protein_coding
ENSMUSG00000045835,13,26952156,26954148,-1,1993,52.38,protein_coding
ENSMUSG00000057649,13,74085930,74109014,1,2430,46.11,protein_coding
ENSMUSG00000057649,13,74085930,74109014,1,2407,46.11,protein_coding
ENSMUSG00000057649,13,74085930,74109014,1,635,46.11,protein_coding
ENSMUSG00000057649,13,74085930,74109014,1,1111,46.11,protein_coding
ENSMUSG00000060002,10,88288607,88339935,-1,630,40.36,protein_coding
ENSMUSG00000060002,10,88288607,88339935,-1,548,40.36,protein_coding
ENSMUSG00000060002,10,88288607,88339935,-1,4863,40.36,protein_coding
ENSMUSG00000060002,10,88288607,88339935,-1,3898,40.36,protein_coding
ENSMUSG00000060002,10,88288607,88339935,-1,1043,40.36,protein_coding
ENSMUSG00000060002,10,88288607,88339935,-1,852,40.36,protein_coding
ENSMUSG00000038178,11,75422520,75468401,1,6891,50.40,protein_coding
ENSMUSG00000038178,11,75422520,75468401,1,3236,50.40,protein_coding
ENSMUSG00000038178,11,75422520,75468401,1,613,50.40,protein_coding
ENSMUSG00000038178,11,75422520,75468401,1,1161,50.40,protein_coding
ENSMUSG00000038178,11,75422520,75468401,1,496,50.40,protein_coding
ENSMUSG00000038178,11,75422520,75468401,1,7145,50.40,protein_coding
ENSMUSG00000074733,19,61042278,61129278,-1,466,42.31,protein_coding
ENSMUSG00000074733,19,61042278,61129278,-1,2568,42.31,protein_coding
ENSMUSG00000074733,19,61042278,61129278,-1,4825,42.31,protein_coding
ENSMUSG00000074733,19,61042278,61129278,-1,171,42.31,protein_coding
ENSMUSG00000074733,19,61042278,61129278,-1,192,42.31,protein_coding
ENSMUSG00000050914,8,46449939,46458744,-1,927,42.95,protein_coding
ENSMUSG00000117679,18,36804207,36812419,-1,2067,48.26,protein_coding
ENSMUSG00000117679,18,36804207,36812419,-1,171,48.26,protein_coding
ENSMUSG00000117679,18,36804207,36812419,-1,189,48.26,protein_coding
ENSMUSG00000094649,19,61163124,61164747,-1,1624,49.20,protein_coding
ENSMUSG00000069475,19,61172328,61172393,1,66,37.88,protein_coding
ENSMUSG00000073916,7,104583447,104589684,1,2336,35.51,protein_coding
ENSMUSG00000073916,7,104583447,104589684,1,2195,35.51,protein_coding
ENSMUSG00000073916,7,104583447,104589684,1,954,35.51,protein_coding
ENSMUSG00000024817,19,30007913,30071122,1,3536,39.14,protein_coding
ENSMUSG00000042772,1,152712746,152778397,-1,5767,39.00,protein_coding
ENSMUSG00000042772,1,152712746,152778397,-1,5792,39.00,protein_coding
ENSMUSG00000042772,1,152712746,152778397,-1,3928,39.00,protein_coding
ENSMUSG00000051615,14,120715856,120744606,1,4191,45.78,protein_coding
ENSMUSG00000044705,7,104606321,104611827,-1,3729,34.99,protein_coding
ENSMUSG00000044705,7,104606321,104611827,-1,939,34.99,protein_coding
ENSMUSG00000057672,8,84393165,84425808,-1,6662,52.14,protein_coding
ENSMUSG00000057672,8,84393165,84425808,-1,2995,52.14,protein_coding
ENSMUSG00000028127,3,121552423,121608951,-1,3156,39.82,protein_coding
ENSMUSG00000028127,3,121552423,121608951,-1,3489,39.82,protein_coding
ENSMUSG00000118553,7,43077110,43078256,1,558,54.32,protein_coding
ENSMUSG00000094531,7,104622103,104628333,-1,3157,36.64,protein_coding
ENSMUSG00000094531,7,104622103,104628333,-1,3225,36.64,protein_coding
ENSMUSG00000094531,7,104622103,104628333,-1,942,36.64,protein_coding
ENSMUSG00000020644,12,25143798,25147139,-1,1969,47.37,protein_coding
ENSMUSG00000020644,12,25143798,25147139,-1,958,47.37,protein_coding
ENSMUSG00000020644,12,25143798,25147139,-1,1270,47.37,protein_coding
ENSMUSG00000051172,7,104644967,104651236,-1,1490,35.26,protein_coding
ENSMUSG00000051172,7,104644967,104651236,-1,939,35.26,protein_coding
ENSMUSG00000118560,7,43079512,43085420,1,884,47.45,protein_coding
ENSMUSG00000043060,12,64518104,64521464,-1,3361,45.25,protein_coding
ENSMUSG00000021975,14,65187494,65277284,1,2674,44.16,protein_coding
ENSMUSG00000021975,14,65187494,65277284,1,2677,44.16,protein_coding
ENSMUSG00000096049,12,87978618,87979052,1,435,38.62,protein_coding
ENSMUSG00000096803,12,87985107,87985541,-1,435,39.31,protein_coding
ENSMUSG00000096773,7,104670577,104677667,-1,3671,37.72,protein_coding
ENSMUSG00000096773,7,104670577,104677667,-1,3737,37.72,protein_coding
ENSMUSG00000096773,7,104670577,104677667,-1,3828,37.72,protein_coding
ENSMUSG00000096773,7,104670577,104677667,-1,942,37.72,protein_coding
ENSMUSG00000095717,12,87993774,87994208,1,435,38.62,protein_coding
ENSMUSG00000037475,X,40883868,41009551,-1,3506,37.14,protein_coding
ENSMUSG00000037475,X,40883868,41009551,-1,7622,37.14,protein_coding
ENSMUSG00000037475,X,40883868,41009551,-1,574,37.14,protein_coding
ENSMUSG00000037475,X,40883868,41009551,-1,462,37.14,protein_coding
ENSMUSG00000037475,X,40883868,41009551,-1,427,37.14,protein_coding
ENSMUSG00000037475,X,40883868,41009551,-1,489,37.14,protein_coding
ENSMUSG00000033272,18,36812268,36816914,1,2362,52.10,protein_coding
ENSMUSG00000033272,18,36812268,36816914,1,2462,52.10,protein_coding
ENSMUSG00000033272,18,36812268,36816914,1,312,52.10,protein_coding
ENSMUSG00000033272,18,36812268,36816914,1,2842,52.10,protein_coding
ENSMUSG00000040725,7,25420590,25454182,-1,3784,46.38,protein_coding
ENSMUSG00000040725,7,25420590,25454182,-1,3354,46.38,protein_coding
ENSMUSG00000040725,7,25420590,25454182,-1,1240,46.38,protein_coding
ENSMUSG00000044719,18,36817976,36828978,-1,2016,48.56,protein_coding
ENSMUSG00000047227,12,64964680,64971366,1,1468,39.81,protein_coding
ENSMUSG00000047227,12,64964680,64971366,1,1090,39.81,protein_coding
ENSMUSG00000047227,12,64964680,64971366,1,771,39.81,protein_coding
ENSMUSG00000017404,11,97917536,97921318,1,737,49.91,protein_coding
ENSMUSG00000017404,11,97917536,97921318,1,751,49.91,protein_coding
ENSMUSG00000051439,18,36858120,36859851,-1,1641,52.77,protein_coding
ENSMUSG00000021978,14,65289509,65387304,-1,6013,46.81,protein_coding
ENSMUSG00000021978,14,65289509,65387304,-1,5977,46.81,protein_coding
ENSMUSG00000069189,13,74111970,74141109,1,1460,45.03,protein_coding
ENSMUSG00000024941,19,5808379,5821447,-1,2731,53.75,protein_coding
ENSMUSG00000024941,19,5808379,5821447,-1,2586,53.75,protein_coding
ENSMUSG00000024941,19,5808379,5821447,-1,2395,53.75,protein_coding
ENSMUSG00000024941,19,5808379,5821447,-1,585,53.75,protein_coding
ENSMUSG00000024941,19,5808379,5821447,-1,717,53.75,protein_coding
ENSMUSG00000024941,19,5808379,5821447,-1,548,53.75,protein_coding
ENSMUSG00000006850,18,36868092,36875450,1,1823,48.72,protein_coding
ENSMUSG00000006850,18,36868092,36875450,1,992,48.72,protein_coding
ENSMUSG00000114075,12,88050467,88050901,1,435,37.47,protein_coding
ENSMUSG00000020948,12,64985607,65012308,-1,6459,36.78,protein_coding
ENSMUSG00000020948,12,64985607,65012308,-1,2024,36.78,protein_coding
ENSMUSG00000007989,14,65429898,65499912,-1,12734,39.49,protein_coding
ENSMUSG00000021342,13,27241553,27249188,1,888,35.62,protein_coding
ENSMUSG00000021342,13,27241553,27249188,1,886,35.62,protein_coding
ENSMUSG00000021342,13,27241553,27249188,1,895,35.62,protein_coding
ENSMUSG00000017400,11,97927449,97944288,-1,3050,52.95,protein_coding
ENSMUSG00000017400,11,97927449,97944288,-1,550,52.95,protein_coding
ENSMUSG00000014294,18,36875385,36877610,-1,572,44.61,protein_coding
ENSMUSG00000030662,14,121148636,121185411,1,4518,43.38,protein_coding
ENSMUSG00000020059,10,88295431,88309098,1,1139,37.30,protein_coding
ENSMUSG00000020059,10,88295431,88309098,1,1169,37.30,protein_coding
ENSMUSG00000022248,15,10486104,10499149,1,1514,42.49,protein_coding
ENSMUSG00000022248,15,10486104,10499149,1,4085,42.49,protein_coding
ENSMUSG00000022248,15,10486104,10499149,1,838,42.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,3792,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,3254,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,4802,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,2917,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,747,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,735,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,7787,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,3592,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,3034,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,2974,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,3671,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,4845,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,3393,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,3182,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,3295,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,548,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,1792,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,586,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,770,45.49,protein_coding
ENSMUSG00000024589,18,65020776,65350899,1,2018,45.49,protein_coding
ENSMUSG00000020642,12,26350963,26465253,-1,5164,46.19,protein_coding
ENSMUSG00000020642,12,26350963,26465253,-1,4812,46.19,protein_coding
ENSMUSG00000020642,12,26350963,26465253,-1,764,46.19,protein_coding
ENSMUSG00000017781,11,75478923,75519630,1,3761,47.01,protein_coding
ENSMUSG00000017781,11,75478923,75519630,1,1665,47.01,protein_coding
ENSMUSG00000017781,11,75478923,75519630,1,3727,47.01,protein_coding
ENSMUSG00000021573,13,74157526,74183872,1,5090,49.30,protein_coding
ENSMUSG00000057170,13,27278173,27284241,1,866,33.86,protein_coding
ENSMUSG00000057170,13,27278173,27284241,1,872,33.86,protein_coding
ENSMUSG00000025860,X,41148556,41198533,1,693,40.22,protein_coding
ENSMUSG00000025860,X,41148556,41198533,1,6542,40.22,protein_coding
ENSMUSG00000025860,X,41148556,41198533,1,487,40.22,protein_coding
ENSMUSG00000025860,X,41148556,41198533,1,6670,40.22,protein_coding
ENSMUSG00000025860,X,41148556,41198533,1,6374,40.22,protein_coding
ENSMUSG00000025860,X,41148556,41198533,1,6834,40.22,protein_coding
ENSMUSG00000073915,7,104681905,104686957,1,2802,38.57,protein_coding
ENSMUSG00000073915,7,104681905,104686957,1,954,38.57,protein_coding
ENSMUSG00000033981,3,80588757,80710142,-1,10371,36.81,protein_coding
ENSMUSG00000033981,3,80588757,80710142,-1,4026,36.81,protein_coding
ENSMUSG00000066027,12,88142359,88148878,-1,2453,39.45,protein_coding
ENSMUSG00000066027,12,88142359,88148878,-1,1382,39.45,protein_coding
ENSMUSG00000066027,12,88142359,88148878,-1,1788,39.45,protein_coding
ENSMUSG00000066027,12,88142359,88148878,-1,1883,39.45,protein_coding
ENSMUSG00000029209,5,69730451,69749683,-1,1894,38.39,protein_coding
ENSMUSG00000029209,5,69730451,69749683,-1,1755,38.39,protein_coding
ENSMUSG00000029209,5,69730451,69749683,-1,1011,38.39,protein_coding
ENSMUSG00000029209,5,69730451,69749683,-1,1594,38.39,protein_coding
ENSMUSG00000073914,7,104700579,104708213,1,3227,38.83,protein_coding
ENSMUSG00000073914,7,104700579,104708213,1,939,38.83,protein_coding
ENSMUSG00000019873,10,66844968,66932724,-1,5430,44.47,protein_coding
ENSMUSG00000019873,10,66844968,66932724,-1,2925,44.47,protein_coding
ENSMUSG00000019873,10,66844968,66932724,-1,838,44.47,protein_coding
ENSMUSG00000030730,7,126045030,126062280,-1,3477,51.83,protein_coding
ENSMUSG00000030730,7,126045030,126062280,-1,681,51.83,protein_coding
ENSMUSG00000062737,13,27305681,27311538,1,853,32.62,protein_coding
ENSMUSG00000062737,13,27305681,27311538,1,675,32.62,protein_coding
ENSMUSG00000091129,9,106503180,106504874,1,1138,49.79,protein_coding
ENSMUSG00000091129,9,106503180,106504874,1,474,49.79,protein_coding
ENSMUSG00000022249,15,10500188,10558754,-1,1483,42.38,protein_coding
ENSMUSG00000022249,15,10500188,10558754,-1,1931,42.38,protein_coding
ENSMUSG00000087236,1,179522862,179572836,-1,3526,47.13,protein_coding
ENSMUSG00000087236,1,179522862,179572836,-1,3538,47.13,protein_coding
ENSMUSG00000087236,1,179522862,179572836,-1,2643,47.13,protein_coding
ENSMUSG00000087236,1,179522862,179572836,-1,555,47.13,protein_coding
ENSMUSG00000095799,12,88216436,88216870,-1,435,39.08,protein_coding
ENSMUSG00000037989,13,49189779,49301490,-1,6628,50.15,protein_coding
ENSMUSG00000037989,13,49189779,49301490,-1,6147,50.15,protein_coding
ENSMUSG00000037989,13,49189779,49301490,-1,6584,50.15,protein_coding
ENSMUSG00000037989,13,49189779,49301490,-1,3392,50.15,protein_coding
ENSMUSG00000037989,13,49189779,49301490,-1,4360,50.15,protein_coding
ENSMUSG00000037989,13,49189779,49301490,-1,6882,50.15,protein_coding
ENSMUSG00000037989,13,49189779,49301490,-1,6897,50.15,protein_coding
ENSMUSG00000037989,13,49189779,49301490,-1,6738,50.15,protein_coding
ENSMUSG00000037989,13,49189779,49301490,-1,6534,50.15,protein_coding
ENSMUSG00000037989,13,49189779,49301490,-1,6630,50.15,protein_coding
ENSMUSG00000079029,12,88237410,88241270,-1,1840,38.62,protein_coding
ENSMUSG00000032036,9,34397190,34948012,1,746,45.45,protein_coding
ENSMUSG00000032036,9,34397190,34948012,1,4108,45.45,protein_coding
ENSMUSG00000032036,9,34397190,34948012,1,3074,45.45,protein_coding
ENSMUSG00000032036,9,34397190,34948012,1,4147,45.45,protein_coding
ENSMUSG00000032036,9,34397190,34948012,1,3643,45.45,protein_coding
ENSMUSG00000032036,9,34397190,34948012,1,3532,45.45,protein_coding
ENSMUSG00000032036,9,34397190,34948012,1,1644,45.45,protein_coding
ENSMUSG00000032036,9,34397190,34948012,1,2851,45.45,protein_coding
ENSMUSG00000039480,10,34164284,34294548,-1,539,41.05,protein_coding
ENSMUSG00000039480,10,34164284,34294548,-1,2727,41.05,protein_coding
ENSMUSG00000039480,10,34164284,34294548,-1,2743,41.05,protein_coding
ENSMUSG00000039480,10,34164284,34294548,-1,802,41.05,protein_coding
ENSMUSG00000039480,10,34164284,34294548,-1,761,41.05,protein_coding
ENSMUSG00000093847,12,88286892,88290796,-1,1856,38.08,protein_coding
ENSMUSG00000093847,12,88286892,88290796,-1,435,38.08,protein_coding
ENSMUSG00000025597,X,113384030,113470526,1,3566,35.37,protein_coding
ENSMUSG00000025597,X,113384030,113470526,1,3584,35.37,protein_coding
ENSMUSG00000025597,X,113384030,113470526,1,2893,35.37,protein_coding
ENSMUSG00000026042,1,45413481,45542442,-1,6625,36.19,protein_coding
ENSMUSG00000020641,12,26492745,26506451,-1,3782,43.51,protein_coding
ENSMUSG00000059326,19,61212395,61216867,-1,1771,62.11,protein_coding
ENSMUSG00000059326,19,61212395,61216867,-1,1849,62.11,protein_coding
ENSMUSG00000016028,15,85783130,85918404,-1,11305,51.12,protein_coding
ENSMUSG00000016028,15,85783130,85918404,-1,6802,51.12,protein_coding
ENSMUSG00000016028,15,85783130,85918404,-1,908,51.12,protein_coding
ENSMUSG00000016028,15,85783130,85918404,-1,713,51.12,protein_coding
ENSMUSG00000016028,15,85783130,85918404,-1,838,51.12,protein_coding
ENSMUSG00000038542,8,13127189,13155459,-1,2860,47.65,protein_coding
ENSMUSG00000004612,7,43086497,43087673,1,881,54.46,protein_coding
ENSMUSG00000004612,7,43086497,43087673,1,686,54.46,protein_coding
ENSMUSG00000042208,11,23514961,23583639,-1,4392,39.96,protein_coding
ENSMUSG00000042208,11,23514961,23583639,-1,3646,39.96,protein_coding
ENSMUSG00000042208,11,23514961,23583639,-1,739,39.96,protein_coding
ENSMUSG00000042208,11,23514961,23583639,-1,1279,39.96,protein_coding
ENSMUSG00000042208,11,23514961,23583639,-1,523,39.96,protein_coding
ENSMUSG00000042208,11,23514961,23583639,-1,4128,39.96,protein_coding
ENSMUSG00000042208,11,23514961,23583639,-1,4106,39.96,protein_coding
ENSMUSG00000073830,4,61256022,61259999,-1,741,41.25,protein_coding
ENSMUSG00000073830,4,61256022,61259999,-1,925,41.25,protein_coding
ENSMUSG00000073830,4,61256022,61259999,-1,652,41.25,protein_coding
ENSMUSG00000034532,14,65504067,65561422,1,3781,44.83,protein_coding
ENSMUSG00000034532,14,65504067,65561422,1,1019,44.83,protein_coding
ENSMUSG00000034532,14,65504067,65561422,1,3700,44.83,protein_coding
ENSMUSG00000047109,16,93715919,93809696,-1,1457,48.30,protein_coding
ENSMUSG00000047109,16,93715919,93809696,-1,548,48.30,protein_coding
ENSMUSG00000047109,16,93715919,93809696,-1,680,48.30,protein_coding
ENSMUSG00000047109,16,93715919,93809696,-1,1456,48.30,protein_coding
ENSMUSG00000047109,16,93715919,93809696,-1,1266,48.30,protein_coding
ENSMUSG00000073913,7,104713682,104720846,1,2369,36.04,protein_coding
ENSMUSG00000073913,7,104713682,104720846,1,942,36.04,protein_coding
ENSMUSG00000096029,7,104730412,104739849,1,5018,36.89,protein_coding
ENSMUSG00000096029,7,104730412,104739849,1,5184,36.89,protein_coding
